num_iter,testloss,trainloss,passeddata
0,0.498762,0.518279,0
10,0.110988,0.111188,1000
20,0.096487,0.0963899,2000
30,0.0916747,0.091595,3000
40,0.0885253,0.0880636,4000
50,0.0862172,0.0858054,5000
60,0.0852942,0.0840725,6000
70,0.0840366,0.0825419,7000
80,0.0828735,0.0813997,8000
90,0.0825005,0.0803707,9000
100,0.0820853,0.0795351,10000
110,0.0810454,0.0786282,11000
120,0.0802061,0.0778495,12000
130,0.079952,0.0772523,13000
140,0.0792577,0.0767168,14000
150,0.0788238,0.0762761,15000
160,0.0788375,0.075855,16000
170,0.0784392,0.0754633,17000
180,0.0785886,0.0751954,18000
190,0.0781619,0.0747856,19000
200,0.0778652,0.0744417,20000
210,0.078131,0.0742715,21000
220,0.0778868,0.0739849,22000
230,0.0770376,0.0735686,23000
240,0.0769278,0.0733168,24000
250,0.0765056,0.0730562,25000
260,0.0764591,0.072846,26000
270,0.076839,0.0727357,27000
280,0.0769854,0.0726397,28000
290,0.0763694,0.0723028,29000
300,0.0761912,0.0721139,30000
310,0.0763237,0.0720139,31000
320,0.0762961,0.0718747,32000
330,0.0759504,0.0716751,33000
340,0.0759825,0.0715457,34000
350,0.0759927,0.071457,35000
360,0.075741,0.0713009,36000
370,0.0754916,0.0711506,37000
380,0.0751499,0.0710323,38000
390,0.0752809,0.0709356,39000
400,0.0750805,0.0708066,40000
410,0.0751609,0.0707165,41000
420,0.0751809,0.0706253,42000
430,0.0751635,0.0705472,43000
440,0.0749176,0.0704174,44000
450,0.0746324,0.070295,45000
460,0.0745083,0.0702061,46000
470,0.0747054,0.0701239,47000
480,0.0745679,0.0700304,48000
490,0.0745047,0.0699459,49000
500,0.0745557,0.0698805,50000
510,0.0745736,0.0698099,51000
520,0.0743264,0.0696966,52000
530,0.0741543,0.0696559,53000
540,0.0741847,0.0695847,54000
550,0.0742366,0.0695138,55000
560,0.0743075,0.0694828,56000
570,0.0742465,0.0694334,57000
580,0.0742032,0.0693745,58000
590,0.0739959,0.0692775,59000
600,0.0739463,0.0692054,60000
610,0.0739596,0.0691545,61000
620,0.0739639,0.0691013,62000
630,0.0739795,0.06905,63000
640,0.073896,0.0689885,64000
650,0.0739036,0.0689356,65000
660,0.0738594,0.0688955,66000
670,0.0738842,0.0688464,67000
680,0.0737639,0.0687827,68000
690,0.0738182,0.068729,69000
700,0.0736656,0.0686773,70000
710,0.0736568,0.0686234,71000
720,0.0737608,0.0685996,72000
730,0.0738711,0.0685846,73000
