num_iter,testloss,trainloss,passeddata
0,44.3525,43.5353,0
1,36.4229,35.7496,20000
2,30.0005,29.4209,40000
3,24.7432,24.2452,60000
4,20.4419,20.0131,80000
5,16.9233,16.5578,100000
6,14.0457,13.7329,120000
7,11.6862,11.4194,140000
8,9.75544,9.52871,160000
9,8.17507,7.98178,180000
10,6.87988,6.71655,200000
11,5.81943,5.68085,220000
12,4.94964,4.8325,240000
13,4.23821,4.13904,260000
14,3.65426,3.57064,280000
15,3.17627,3.10571,300000
16,2.78453,2.72487,320000
17,2.46288,2.4127,340000
18,2.19917,2.15689,360000
19,1.98281,1.9473,380000
20,1.80536,1.77547,400000
21,1.6596,1.63453,420000
22,1.53997,1.519,440000
23,1.44189,1.42432,460000
24,1.36132,1.34662,480000
25,1.29512,1.28285,500000
26,1.24087,1.2306,520000
27,1.19633,1.18778,540000
28,1.15976,1.15263,560000
29,1.12967,1.12376,580000
30,1.10497,1.10007,600000
31,1.08466,1.0806,620000
32,1.06795,1.06461,640000
33,1.05423,1.0515,660000
34,1.04294,1.04071,680000
35,1.03366,1.03185,700000
36,1.02603,1.02457,720000
37,1.01975,1.0186,740000
38,1.01459,1.01369,760000
39,1.01035,1.00965,780000
40,1.00685,1.00634,800000
41,1.00397,1.00361,820000
42,1.00161,1.00137,840000
43,0.999662,0.999533,860000
44,0.998057,0.998019,880000
45,0.996735,0.996774,900000
46,0.995646,0.99575,920000
47,0.994749,0.994909,940000
48,0.99401,0.994218,960000
49,0.9934,0.993649,980000
50,0.992898,0.993182,1000000
51,0.992484,0.992798,1020000
52,0.992143,0.992482,1040000
53,0.991861,0.992223,1060000
54,0.991628,0.99201,1080000
55,0.991436,0.991835,1100000
56,0.991277,0.991691,1120000
57,0.991146,0.991573,1140000
58,0.991038,0.991476,1160000
59,0.990949,0.991396,1180000
60,0.990875,0.991331,1200000
61,0.990814,0.991278,1220000
62,0.990763,0.991234,1240000
63,0.990721,0.991198,1260000
64,0.990686,0.991169,1280000
65,0.990657,0.991145,1300000
66,0.990633,0.991125,1320000
67,0.990613,0.991109,1340000
68,0.990596,0.991096,1360000
69,0.990582,0.991086,1380000
70,0.990571,0.991077,1400000
71,0.990561,0.99107,1420000
72,0.990553,0.991065,1440000
73,0.990546,0.99106,1460000
74,0.990541,0.991056,1480000
75,0.990536,0.991054,1500000
76,0.990532,0.991051,1520000
77,0.990529,0.991049,1540000
78,0.990526,0.991048,1560000
79,0.990523,0.991047,1580000
80,0.990521,0.991046,1600000
81,0.990519,0.991045,1620000
82,0.990518,0.991045,1640000
83,0.990517,0.991044,1660000
84,0.990515,0.991044,1680000
85,0.990514,0.991044,1700000
86,0.990514,0.991044,1720000
87,0.990513,0.991044,1740000
88,0.990512,0.991044,1760000
89,0.990512,0.991044,1780000
90,0.990511,0.991044,1800000
91,0.990511,0.991044,1820000
92,0.99051,0.991044,1840000
93,0.99051,0.991044,1860000
94,0.99051,0.991044,1880000
95,0.990509,0.991044,1900000
96,0.990509,0.991044,1920000
97,0.990509,0.991044,1940000
98,0.990509,0.991044,1960000
99,0.990509,0.991044,1980000
100,0.990508,0.991044,2000000
101,0.990508,0.991044,2020000
102,0.990508,0.991044,2040000
103,0.990508,0.991044,2060000
104,0.990508,0.991044,2080000
105,0.990508,0.991044,2100000
106,0.990508,0.991044,2120000
107,0.990508,0.991044,2140000
108,0.990508,0.991045,2160000
109,0.990508,0.991045,2180000
110,0.990507,0.991045,2200000
111,0.990507,0.991045,2220000
112,0.990507,0.991045,2240000
113,0.990507,0.991045,2260000
114,0.990507,0.991045,2280000
115,0.990507,0.991045,2300000
116,0.990507,0.991045,2320000
117,0.990507,0.991045,2340000
118,0.990507,0.991045,2360000
119,0.990507,0.991045,2380000
120,0.990507,0.991045,2400000
121,0.990507,0.991045,2420000
122,0.990507,0.991045,2440000
123,0.990507,0.991045,2460000
124,0.990507,0.991045,2480000
125,0.990507,0.991045,2500000
