num_iter,testloss,trainloss,passeddata
0,44.3525,43.5353,0
1,35.9268,36.7598,20000
2,230.796,234.178,40000
3,346.975,345.596,60000
4,466.265,461.438,80000
5,672.561,665.831,100000
6,1150,1156.66,120000
7,2207.87,2211.36,140000
8,1760.18,1753.74,160000
9,1609.18,1589.09,180000
10,1440.81,1420.18,200000
11,7101.48,7137.56,220000
12,35666.5,35494,240000
13,70436.2,71261.3,260000
14,136686,136217,280000
15,110508,110391,300000
16,290636,296233,320000
17,305945,314878,340000
18,265646,268028,360000
19,355622,359461,380000
20,1.43796e+006,1.43777e+006,400000
21,2.30974e+006,2.33617e+006,420000
22,3.19835e+007,3.20827e+007,440000
