num_iter,testloss,trainloss,passeddata
0,0.498762,0.518279,0
1,0.211257,0.230781,20000
2,0.126525,0.113742,40000
3,0.0990145,0.0607764,60000
4,0.0839335,0.0350595,80000
5,0.0778929,0.0245602,100000
6,0.0764798,0.0192433,120000
7,0.0756087,0.0161355,140000
8,0.0763496,0.0141798,160000
9,0.0768626,0.012802,180000
10,0.0774999,0.0117535,200000
11,0.0781993,0.0109249,220000
12,0.078898,0.0102536,240000
13,0.079671,0.00968664,260000
14,0.08039,0.00920356,280000
15,0.081088,0.00878161,300000
16,0.0817899,0.00841084,320000
17,0.0824466,0.00808142,340000
18,0.0830794,0.00778491,360000
19,0.0836859,0.00751678,380000
20,0.0843171,0.00727342,400000
21,0.0849322,0.00705015,420000
22,0.0855329,0.00684508,440000
23,0.0861643,0.00665581,460000
24,0.0867191,0.00648091,480000
25,0.0872943,0.00631783,500000
26,0.087829,0.00616564,520000
27,0.0883933,0.0060234,540000
28,0.0889195,0.00588986,560000
29,0.089455,0.00576397,580000
30,0.0899754,0.00564543,600000
31,0.0904834,0.00553322,620000
32,0.0909809,0.00542718,640000
33,0.0914822,0.00532654,660000
34,0.0919685,0.00523118,680000
35,0.0924552,0.00514022,700000
36,0.0929284,0.00505356,720000
37,0.0933959,0.0049709,740000
38,0.0938568,0.00489202,760000
39,0.0943188,0.00481651,780000
40,0.094764,0.00474424,800000
41,0.0952114,0.00467498,820000
42,0.095646,0.00460843,840000
43,0.0960869,0.0045444,860000
44,0.0965177,0.00448294,880000
45,0.096935,0.00442383,900000
46,0.0973443,0.00436685,920000
47,0.0977714,0.00431187,940000
48,0.0981802,0.00425877,960000
49,0.0985804,0.00420758,980000
50,0.0989816,0.00415812,1000000
51,0.09938,0.00411031,1020000
52,0.0997705,0.00406399,1040000
53,0.100165,0.00401924,1060000
54,0.100554,0.00397583,1080000
55,0.10093,0.00393373,1100000
56,0.10131,0.00389295,1120000
57,0.101678,0.0038533,1140000
58,0.102051,0.00381487,1160000
59,0.102415,0.00377751,1180000
60,0.102781,0.00374122,1200000
61,0.103136,0.00370588,1220000
62,0.103496,0.00367154,1240000
63,0.10385,0.0036381,1260000
64,0.104201,0.00360557,1280000
65,0.104558,0.00357387,1300000
66,0.104896,0.003543,1320000
67,0.105242,0.00351288,1340000
68,0.105576,0.0034835,1360000
69,0.105921,0.00345489,1380000
70,0.106251,0.00342691,1400000
71,0.106582,0.00339963,1420000
72,0.106907,0.00337295,1440000
